렌즈,입력,단계,시각(초),표본,가로 폭,결정계수,계수,통과,거절 이유,적용 뒤 계수
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,68.53,480,0.3533,0.063,-1.5157,0,결정계수 미달,-0.6745
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,72.53,480,0.4289,0.3664,-0.7424,1,-,-0.6949
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,76.53,480,0.4289,0.1065,0.3075,0,결정계수 미달,-0.6949
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,80.53,480,0.4289,0.0924,-0.7053,0,결정계수 미달,-0.6949
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,84.53,480,0.2514,0.3068,-12.2144,1,-,-1.0864
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,88.53,480,0.3,0.3559,-6.1179,1,-,-1.3605
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,92.53,480,0.3471,0.1734,-2.547,1,-,-1.5523
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,96.53,480,0.3955,0.0293,-0.4108,0,결정계수 미달,-1.5523
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,100.53,480,0.3955,0.0195,-0.4872,0,결정계수 미달,-1.5523
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,104.53,480,0.401,0.0242,-0.196,0,결정계수 미달,-1.5523
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,108.53,480,0.3991,0.1835,-1.54,1,-,-1.5486
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,112.53,480,0.3914,0.066,-1.3318,0,결정계수 미달,-1.5486
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,116.53,480,0.3914,0.3577,-4.4168,1,-,-1.684
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,120.53,480,0.3556,0.598,-6.9849,1,-,-1.7788
광각 90도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,8.53,240,0.4853,0.048,0.0098,0,결정계수 미달,0.0
광각 90도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,12.53,360,0.4853,0.0758,0.0006,0,결정계수 미달,0.0
광각 90도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,16.53,480,0.4853,0.0745,-0.003,0,결정계수 미달,0.0
광각 90도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,20.53,480,0.482,0.0869,0.0011,0,결정계수 미달,0.0
광각 90도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,24.53,480,0.4799,0.0776,0.0026,0,결정계수 미달,0.0
광각 90도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,28.53,480,0.4803,0.0671,0.0047,0,결정계수 미달,0.0
광각 90도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,32.53,480,0.482,0.0874,0.0129,0,결정계수 미달,0.0
광각 90도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,36.53,480,0.4835,0.0952,0.007,0,결정계수 미달,0.0
광각 90도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,40.53,480,0.4835,0.1072,0.0041,0,결정계수 미달,0.0
광각 90도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,44.53,480,0.4844,0.1013,0.0149,0,결정계수 미달,0.0
광각 90도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,48.53,480,0.482,0.0704,0.0027,0,결정계수 미달,0.0
